"congress","year","bioname","nominate_dim1","party"
29,1845,"KAUFMAN, David Spangler",-0.53,"Democrat"
29,1845,"PILSBURY, Timothy",-0.349,"Democrat"
30,1847,"KAUFMAN, David Spangler",-0.53,"Democrat"
30,1847,"PILSBURY, Timothy",-0.349,"Democrat"
31,1849,"HOWARD, Volney Erskine",-0.455,"Democrat"
31,1849,"KAUFMAN, David Spangler",-0.53,"Democrat"
32,1851,"HOWARD, Volney Erskine",-0.455,"Democrat"
32,1851,"SCURRY, Richardson",-0.601,"Democrat"
33,1853,"BELL, Peter Hansbrough",-0.268,"Democrat"
33,1853,"SMYTH, George Washington",-0.533,"Democrat"
34,1855,"BELL, Peter Hansbrough",-0.268,"Democrat"
34,1855,"EVANS, Lemuel Dale",-0.059,"Republican"
35,1857,"BRYAN, Guy Morrison",-0.396,"Democrat"
35,1857,"REAGAN, John Henninger",-0.5,"Democrat"
36,1859,"HAMILTON, Andrew Jackson",-0.226,"Republican"
36,1859,"REAGAN, John Henninger",-0.5,"Democrat"
41,1869,"CLARK, William Thomas",0.362,"Republican"
41,1869,"CONNER, John Coggswell",-0.37,"Democrat"
41,1869,"DEGENER, Edward",0.281,"Republican"
41,1869,"WHITMORE, George Washington",0.321,"Republican"
42,1871,"CLARK, William Thomas",0.362,"Republican"
42,1871,"CONNER, John Coggswell",-0.37,"Democrat"
42,1871,"GIDDINGS, De Witt Clinton",-0.418,"Democrat"
42,1871,"HANCOCK, John",-0.254,"Democrat"
42,1871,"HERNDON, William Smith",-0.405,"Democrat"
43,1873,"GIDDINGS, De Witt Clinton",-0.418,"Democrat"
43,1873,"HANCOCK, John",-0.254,"Democrat"
43,1873,"HERNDON, William Smith",-0.405,"Democrat"
43,1873,"McLEAN, William Pinkney",-0.639,"Democrat"
43,1873,"MILLS, Roger Quarles",-0.471,"Democrat"
43,1873,"WILLIE, Asa Hoxie",-0.456,"Democrat"
44,1875,"CULBERSON, David Browning",-0.428,"Democrat"
44,1875,"HANCOCK, John",-0.254,"Democrat"
44,1875,"MILLS, Roger Quarles",-0.471,"Democrat"
44,1875,"REAGAN, John Henninger",-0.5,"Democrat"
44,1875,"SCHLEICHER, Gustave",-0.23,"Democrat"
44,1875,"THROCKMORTON, James Webb",-0.345,"Democrat"
45,1877,"CULBERSON, David Browning",-0.428,"Democrat"
45,1877,"GIDDINGS, De Witt Clinton",-0.418,"Democrat"
45,1877,"MILLS, Roger Quarles",-0.471,"Democrat"
45,1877,"REAGAN, John Henninger",-0.5,"Democrat"
45,1877,"SCHLEICHER, Gustave",-0.23,"Democrat"
45,1877,"THROCKMORTON, James Webb",-0.345,"Democrat"
46,1879,"CULBERSON, David Browning",-0.428,"Democrat"
46,1879,"JONES, George Washington",0.007,"Republican"
46,1879,"MILLS, Roger Quarles",-0.471,"Democrat"
46,1879,"REAGAN, John Henninger",-0.5,"Democrat"
46,1879,"UPSON, Christopher Columbus",-0.327,"Democrat"
46,1879,"WELLBORN, Olin",-0.537,"Democrat"
47,1881,"CULBERSON, David Browning",-0.428,"Democrat"
47,1881,"JONES, George Washington",0.007,"Republican"
47,1881,"MILLS, Roger Quarles",-0.471,"Democrat"
47,1881,"REAGAN, John Henninger",-0.5,"Democrat"
47,1881,"UPSON, Christopher Columbus",-0.327,"Democrat"
47,1881,"WELLBORN, Olin",-0.537,"Democrat"
48,1883,"CULBERSON, David Browning",-0.428,"Democrat"
48,1883,"HANCOCK, John",-0.254,"Democrat"
48,1883,"JONES, James Henry",-0.584,"Democrat"
48,1883,"LANHAM, Samuel Willis Tucker",-0.507,"Democrat"
48,1883,"MILLER, James Francis",-0.575,"Democrat"
48,1883,"MILLS, Roger Quarles",-0.471,"Democrat"
48,1883,"OCHILTREE, Thomas Peck",-0.04,"Republican"
48,1883,"REAGAN, John Henninger",-0.5,"Democrat"
48,1883,"STEWART, Charles",-0.469,"Democrat"
48,1883,"THROCKMORTON, James Webb",-0.345,"Democrat"
48,1883,"WELLBORN, Olin",-0.537,"Democrat"
49,1885,"CRAIN, William Henry",-0.35,"Democrat"
49,1885,"CULBERSON, David Browning",-0.428,"Democrat"
49,1885,"JONES, James Henry",-0.584,"Democrat"
49,1885,"LANHAM, Samuel Willis Tucker",-0.507,"Democrat"
49,1885,"MILLER, James Francis",-0.575,"Democrat"
49,1885,"MILLS, Roger Quarles",-0.471,"Democrat"
49,1885,"REAGAN, John Henninger",-0.5,"Democrat"
49,1885,"SAYERS, Joseph Draper",-0.502,"Democrat"
49,1885,"STEWART, Charles",-0.469,"Democrat"
49,1885,"THROCKMORTON, James Webb",-0.345,"Democrat"
49,1885,"WELLBORN, Olin",-0.537,"Democrat"
50,1887,"ABBOTT, Jo (Joseph)",-0.591,"Democrat"
50,1887,"CRAIN, William Henry",-0.35,"Democrat"
50,1887,"CULBERSON, David Browning",-0.428,"Democrat"
50,1887,"HARE, Silas",-0.546,"Democrat"
50,1887,"KILGORE, Constantine Buckley",-0.697,"Democrat"
50,1887,"LANHAM, Samuel Willis Tucker",-0.507,"Democrat"
50,1887,"MARTIN, William Harrison",-0.649,"Democrat"
50,1887,"MILLS, Roger Quarles",-0.471,"Democrat"
50,1887,"MOORE, Littleton Wilde",-0.534,"Democrat"
50,1887,"REAGAN, John Henninger",-0.5,"Democrat"
50,1887,"SAYERS, Joseph Draper",-0.502,"Democrat"
50,1887,"STEWART, Charles",-0.469,"Democrat"
51,1889,"ABBOTT, Jo (Joseph)",-0.591,"Democrat"
51,1889,"CRAIN, William Henry",-0.35,"Democrat"
51,1889,"CULBERSON, David Browning",-0.428,"Democrat"
51,1889,"HARE, Silas",-0.546,"Democrat"
51,1889,"KILGORE, Constantine Buckley",-0.697,"Democrat"
51,1889,"LANHAM, Samuel Willis Tucker",-0.507,"Democrat"
51,1889,"MARTIN, William Harrison",-0.649,"Democrat"
51,1889,"MILLS, Roger Quarles",-0.471,"Democrat"
51,1889,"MOORE, Littleton Wilde",-0.534,"Democrat"
51,1889,"SAYERS, Joseph Draper",-0.502,"Democrat"
51,1889,"STEWART, Charles",-0.469,"Democrat"
52,1891,"ABBOTT, Jo (Joseph)",-0.591,"Democrat"
52,1891,"ANTONY, Edwin Le Roy",-0.741,"Democrat"
52,1891,"BAILEY, Joseph Weldon",-0.63,"Democrat"
52,1891,"CRAIN, William Henry",-0.35,"Democrat"
52,1891,"CULBERSON, David Browning",-0.428,"Democrat"
52,1891,"KILGORE, Constantine Buckley",-0.697,"Democrat"
52,1891,"LANHAM, Samuel Willis Tucker",-0.507,"Democrat"
52,1891,"LONG, John Benjamin",-0.478,"Democrat"
52,1891,"MILLS, Roger Quarles",-0.471,"Democrat"
52,1891,"MOORE, Littleton Wilde",-0.534,"Democrat"
52,1891,"SAYERS, Joseph Draper",-0.502,"Democrat"
52,1891,"STEWART, Charles",-0.469,"Democrat"
53,1893,"ABBOTT, Jo (Joseph)",-0.591,"Democrat"
53,1893,"BAILEY, Joseph Weldon",-0.63,"Democrat"
53,1893,"BELL, Charles Keith",-0.604,"Democrat"
53,1893,"COCKRELL, Jeremiah Vardaman",-0.406,"Democrat"
53,1893,"COOPER, Samuel Bronson",-0.333,"Democrat"
53,1893,"CRAIN, William Henry",-0.35,"Democrat"
53,1893,"CULBERSON, David Browning",-0.428,"Democrat"
53,1893,"GRESHAM, Walter",-0.421,"Democrat"
53,1893,"HUTCHESON, Joseph Chappell",-0.553,"Democrat"
53,1893,"KILGORE, Constantine Buckley",-0.697,"Democrat"
53,1893,"PASCHAL, Thomas Moore",-0.417,"Democrat"
53,1893,"PENDLETON, George Cassety",-0.399,"Democrat"
53,1893,"SAYERS, Joseph Draper",-0.502,"Democrat"
54,1895,"ABBOTT, Jo (Joseph)",-0.591,"Democrat"
54,1895,"BAILEY, Joseph Weldon",-0.63,"Democrat"
54,1895,"BELL, Charles Keith",-0.604,"Democrat"
54,1895,"COCKRELL, Jeremiah Vardaman",-0.406,"Democrat"
54,1895,"COOPER, Samuel Bronson",-0.333,"Democrat"
54,1895,"CRAIN, William Henry",-0.35,"Democrat"
54,1895,"CROWLEY, Miles",-0.24,"Democrat"
54,1895,"CULBERSON, David Browning",-0.428,"Democrat"
54,1895,"HUTCHESON, Joseph Chappell",-0.553,"Democrat"
54,1895,"KLEBERG, Rudolph",-0.497,"Democrat"
54,1895,"NOONAN, George Henry",0.143,"Republican"
54,1895,"PENDLETON, George Cassety",-0.399,"Democrat"
54,1895,"SAYERS, Joseph Draper",-0.502,"Democrat"
54,1895,"YOAKUM, Charles Henderson",-0.636,"Democrat"
55,1897,"BAILEY, Joseph Weldon",-0.63,"Democrat"
55,1897,"BALL, Thomas Henry",-0.496,"Democrat"
55,1897,"BURKE, Robert Emmet",-0.34,"Democrat"
55,1897,"COOPER, Samuel Bronson",-0.333,"Democrat"
55,1897,"CRANFORD, John Walter",-0.453,"Democrat"
55,1897,"DE GRAFFENREID, Reese Calhoun",-0.802,"Democrat"
55,1897,"HAWLEY, Robert Bradley",0.402,"Republican"
55,1897,"HENRY, Robert Lee",-0.464,"Democrat"
55,1897,"KLEBERG, Rudolph",-0.497,"Democrat"
55,1897,"LANHAM, Samuel Willis Tucker",-0.507,"Democrat"
55,1897,"SAYERS, Joseph Draper",-0.502,"Democrat"
55,1897,"SLAYDEN, James Luther",-0.398,"Democrat"
55,1897,"STEPHENS, John Hall",-0.466,"Democrat"
56,1899,"BAILEY, Joseph Weldon",-0.63,"Democrat"
56,1899,"BALL, Thomas Henry",-0.496,"Democrat"
56,1899,"BURKE, Robert Emmet",-0.34,"Democrat"
56,1899,"BURLESON, Albert Sidney",-0.474,"Democrat"
56,1899,"COOPER, Samuel Bronson",-0.333,"Democrat"
56,1899,"DE GRAFFENREID, Reese Calhoun",-0.802,"Democrat"
56,1899,"HAWLEY, Robert Bradley",0.402,"Republican"
56,1899,"HENRY, Robert Lee",-0.464,"Democrat"
56,1899,"KLEBERG, Rudolph",-0.497,"Democrat"
56,1899,"LANHAM, Samuel Willis Tucker",-0.507,"Democrat"
56,1899,"SHEPPARD, John Levi",-0.373,"Democrat"
56,1899,"SLAYDEN, James Luther",-0.398,"Democrat"
56,1899,"STEPHENS, John Hall",-0.466,"Democrat"
57,1901,"BALL, Thomas Henry",-0.496,"Democrat"
57,1901,"BURGESS, George Farmer",-0.496,"Democrat"
57,1901,"BURKE, Robert Emmet",-0.34,"Democrat"
57,1901,"BURLESON, Albert Sidney",-0.474,"Democrat"
57,1901,"COOPER, Samuel Bronson",-0.333,"Democrat"
57,1901,"DE GRAFFENREID, Reese Calhoun",-0.802,"Democrat"
57,1901,"HENRY, Robert Lee",-0.464,"Democrat"
57,1901,"KLEBERG, Rudolph",-0.497,"Democrat"
57,1901,"LANHAM, Samuel Willis Tucker",-0.507,"Democrat"
57,1901,"RANDELL, Choice Boswell",-0.492,"Democrat"
57,1901,"RUSSELL, Gordon James",-0.514,"Democrat"
57,1901,"SHEPPARD, John Levi",-0.373,"Democrat"
57,1901,"SHEPPARD, Morris",-0.355,"Democrat"
57,1901,"SLAYDEN, James Luther",-0.398,"Democrat"
57,1901,"STEPHENS, John Hall",-0.466,"Democrat"
