COUNTY,demperc12,demperc14,demperc16,demperc18
Anderson,0.22970639,0,0,0.214169602
Andrews,0.148148148,0,0,0.158799322
Angelina,0.266403741,0.212564087,0.23497322,0.252437418
Aransas,0.268553068,0.229800458,0.235387046,0.224855363
Archer,0,0.091481481,0,0.085024685
Armstrong,0,0.07504363,0,0.063122924
Atascosa,0.515211068,0.548764458,0.447860287,0.579948001
Austin,0.170183799,0.132216531,0.155184917,0.183505155
Bailey,0,0.132338308,0,0.219330855
Bandera,0.180918654,0,0.147803317,0.196741725
Bastrop,0.378687513,0.340594987,0.355095541,0.405487584
Baylor,0,0.133886256,0,0.105390185
Bee,0.403718126,0.442999235,0.418100401,0.392108508
Bell,0.361340762,0.297453137,0.343119359,0.428041209
Bexar,0.519887063,0.553685516,0.53346384,0.586385807
Blanco,0.232703138,0,0.192228336,0.259532807
Borden,0,0.049429658,0,0.037463977
Bosque,0.200598802,0.154980804,0.163799646,0.178630591
Bowie,0.271873763,0,0,0.263717746
Brazoria,0.301940511,0.283263524,0.337123525,0.377330304
Brazos,0,0.246171263,0.283242991,0.37558765
Brewster,0.571392016,0.583926755,0.522467986,0.499510524
Briscoe,0,0.110056926,0,0.090189873
Brooks,0.834088102,0.64385197,0.741353383,0.783783784
Brown,0.136086614,0,0,0.117190029
Burleson,0,0.207502374,0.19801838,0.204511051
Burnet,0.212023649,0.17807309,0.189424604,0.221366287
Caldwell,0.469042477,0.423681257,0.425980153,0.457053618
Calhoun,0.38372093,0.292337257,0.302388018,0.288066515
Callahan,0.148572502,0,0,0.102508394
Cameron,0.652838286,0.632162022,0.661993653,0.632904055
Camp,0.320876586,0,0,0.275198769
Carson,0,0.087982833,0,0.079480941
Cass,0.26072523,0,0,0.188624771
Castro,0,0.164440735,0,0.228691477
Chambers,0.18344762,0.15298683,0,0.182790057
Cherokee,0.235453482,0,0,0.210084589
Childress,0,0.101818182,0,0.112930548
Clay,0,0.10916725,0,0.106635623
Cochran,0,0.131313131,0,0.18115942
Coke,0.116229624,0,0,0.079562044
Coleman,0.134020619,0,0,0.103987241
Collin,0.250803007,0.282056472,0.337397396,0.423956739
Collingsworth,0,0.104819277,0,0.094936709
Colorado,0.235055351,0.185632184,0.206727971,0.225465919
Comal,0.206346146,0.317343834,0.199901799,0.262071401
Comanche,0.181113604,0,0,0.144768069
Concho,0.168287938,0,0,0.134010152
Cooke,0,0.112976407,0,0.148963908
Coryell,0.298296635,0.218024579,0.265086091,0.301277282
Cottle,0,0.114441417,0,0.152364273
Crane,0.222741433,0.247943596,0.225829726,0.221800948
Crockett,0.392612859,0.398802395,0.331182796,0.260971787
Crosby,0,0.215703971,0,0.264542936
Culberson,0.5875,0.619335347,0.616688396,0.532332564
Dallam,0,0.097560976,0,0.107364685
Dallas,0.539815919,0.515505075,0.65732339,0.628986732
Dawson,0.238539665,0,0,0.224503311
Deaf Smith,0,0.147403072,0,0.241352201
Delta,0.218368344,0,0,0.158486708
Denton,0.299661213,0.338156435,0.317529348,0.413052063
Dickens,0,0.1003861,0,0.12335958
Dimmit,0.701507882,0.682555781,0.631937984,0.686141304
Donley,0,0.097457627,0,0.087869362
Duval,0.780089485,0.706886404,0.697919102,0.734922179
Eastland,0.163418291,0,0,0.120914507
Ector,0.220574968,0,0,0.25510764
Edwards,0.259887006,0.324115044,0.262012693,0.187256177
El Paso,0.653752844,0.680042671,0.773283871,0.680228075
Ellis,0.243235781,0.21489342,0.229181882,0.296170912
Erath,0.156998739,0.139052425,0.150902969,0.174153749
Falls,0,0.265971317,0.288,0.294644762
Fannin,0.227280891,0,0,0.176362128
Fayette,0.212341712,0.153362171,0.164830243,0.192596108
Fisher,0,0.309236948,0,0.204819277
Floyd,0,0.108378871,0,0.220510096
Foard,0,0.265861027,0,0.225950783
Fort Bend,0.418935165,0.408863539,0.480368353,0.528849202
Franklin,0.172851104,0,0,0.14217653
Freestone,0,0.186418109,0.175436328,0.195737016
Frio,0.580403889,0.545013477,0.512642649,0.540342298
Gaines,0,0.093131548,0,0.121495327
Galveston,0.400148842,0.319084622,0.337827703,0.368857762
Garza,0,0.099881094,0,0.133436773
Gillespie,0.152657159,0,0.142728972,0.19796227
Glasscock,0.050086356,0,0,0.05045045
Goliad,0.278079451,0.319942611,0.285865537,0.250567997
Gonzales,0.281043593,0.217075141,0.241612852,0.23250444
Gray,0,0.062334218,0,0.087868198
Grayson,0.24022809,0,0,0.234841838
Gregg,0.281709898,0.245082177,0.264342037,0.290714954
Grimes,0.257181943,0,0,0.217521269
Guadalupe,0.293906666,0.271865913,0.292686703,0.348623349
Hale,0,0.128457143,0,0.230892785
Hall,0,0.124361158,0,0.143003064
Hamilton,0.17652027,0.156725627,0.130387044,0.15230401
Hansford,0,0.030603805,0,0.057759627
Hardeman,0,0.161434978,0,0.124037639
Hardin,0.163531384,0.117379748,0,0.128907986
Harris,0.475154307,0.450259278,0.525698358,0.556851891
Harrison,0.307060256,0.269981758,0.254307451,0.261681012
Hartley,0,0.078994614,0,0.075729361
Haskell,0,0.248127341,0,0.150684932
Hays,0.387595455,0.388579528,0.39009145,0.496247612
Hemphill,0,0.075903614,0,0.090116279
Henderson,0.212839771,0,0,0.181393452
Hidalgo,0.712025787,0.648727281,0.666280654,0.719033726
Hill,0.247882924,0.177012771,0.189887898,0.203494976
Hockley,0,0.128246753,0,0.175225595
Hood,0.170726306,0,0,0.164481288
Hopkins,0.242766408,0,0,0.194097426
Houston,0.271784232,0,0,0.226106911
Howard,0,0.146626197,0,0.216909778
Hudspeth,0.48783314,0.4125,0.42250287,0.412715517
Hunt,0.215838289,0,0,0.221441555
Hutchinson,0,0.081405694,0,0.094186571
