COUNTY,FIPS,demperc12,vrperc12,toperc12,demperc14,vrperc14,toperc14,demperc16,vrperc16,toperc16,demperc18,vrperc18,toperc18,demchange1418,tochange1418,TOTAL_POP,RACE,COUNT,PERC_WHITE,MEDIAN_AGE,WIN12,WIN14,WIN16,WIN18,label
Anderson,48001,0.229706390328152,0.438759451229943,0.6320714257865799,0.0,0.46214376133292295,0.3789606159313,0.0,0.48061856375517503,0.6043920842824599,0.21416960173394697,0.4846556502104071,0.521106875617676,0.21416960173394697,0.142146259686376,57863.0,White,34312.0,0.5929868828093946,39.1,Republican,Republican,Republican,Republican,
Andrews,48003,0.148148148148148,0.5444339239821451,0.5567701863354039,0.0,0.5764236439875561,0.26058899448551,0.0,0.6188962532124979,0.540268823079445,0.158799322198015,0.647369132963614,0.4315712494776429,0.158799322198015,0.17098225499213293,17818.0,White,7215.0,0.40492760130205413,31.2,Republican,Republican,Republican,Republican,
Angelina,48005,0.266403741449113,0.553860160652753,0.5961838573420171,0.21256408745359198,0.5752152216754449,0.33997836191697395,0.23497321959928602,0.595233430524023,0.5856066913202579,0.252437417654809,0.593308824376808,0.51600559418826,0.039873330201217,0.17602723227128603,87607.0,White,53216.0,0.6074400447452829,37.2,Republican,Republican,Republican,Republican,
Aransas,48007,0.26855306799336603,0.659340184817342,0.63186849171524,0.229800457965325,0.6828309871318771,0.3866439005881239,0.23538704581358605,0.745919336730288,0.622959360889198,0.22485536270583,0.7409102685896879,0.52383727707192,-0.0049450952594949915,0.13719337648379604,24763.0,White,16691.0,0.6740298025279651,49.6,Republican,Republican,Republican,Republican,
Archer,48009,0.0,0.6817981002871661,0.6745504616879959,0.0914814814814815,0.6958250497017888,0.42857142857142894,0.0,0.6973713275900151,0.687836553690212,0.0850246845858475,0.691296664457698,0.5825211695158969,-0.006456796895633998,0.153949740944468,8789.0,White,7772.0,0.8842871771532598,44.5,Republican,Republican,Republican,Republican,
Armstrong,48011,0.0,0.7332982640715409,0.673601147776184,0.075043630017452,0.701735928458706,0.429535232383808,0.0,0.7317201472909001,0.689432063263839,0.0631229235880399,0.743819042609153,0.6386138613861391,-0.011920706429412092,0.2090786290023311,1916.0,White,1737.0,0.9065762004175365,46.3,Republican,Republican,Republican,Republican,
Atascosa,48013,0.5152110683122401,0.5251052080781989,0.53941398464996,0.548764458464774,0.547616396873817,0.30934374237618895,0.447860287219456,0.58987775823295,0.523063566359656,0.579948001299967,0.607757564961813,0.45092507785308705,0.03118354283519309,0.1415813354768981,48828.0,White,16541.0,0.3387605472270009,35.4,Democrat,Democrat,Republican,Democrat,
Austin,48015,0.17018379850238302,0.6247316747017629,0.6619726243451811,0.132216530527482,0.653376499982405,0.389023536381753,0.15518491660623598,0.6782911637400151,0.643891050583658,0.18350515463917497,0.682443607699616,0.5752075491156601,0.051288624111692965,0.18618401273390706,29565.0,White,18525.0,0.6265854895991883,40.7,Republican,Republican,Republican,Republican,
Bailey,48017,0.0,0.48639218422889,0.530846484935438,0.132338308457711,0.493230983949756,0.28438030560271604,0.0,0.5182135380321,0.48262860220845705,0.219330855018587,0.514863921842289,0.43751694226077503,0.08699254656087602,0.153136636658059,7092.0,White,2346.0,0.33079526226734346,33.5,Republican,Republican,Republican,Republican,
Bandera,48019,0.180918654306843,0.7164754698559921,0.654152756012809,0.0,0.724432511593849,0.433355795148248,0.147803316846087,0.7576275323407371,0.664368556701031,0.19674172460309197,0.775054918232853,0.6069786483592621,0.19674172460309197,0.17362285321101406,21763.0,White,17032.0,0.782612691264991,52.1,Republican,Republican,Republican,Republican,
Bastrop,48021,0.37868751285743696,0.5226705855388221,0.6367529084014749,0.340594987116421,0.5739844413584821,0.401099288281305,0.355095541401274,0.608256596243815,0.6403191843067719,0.405487584159849,0.6339674535869809,0.5875122283186589,0.06489259704342798,0.18641294003735392,82577.0,White,43757.0,0.5298933116969616,38.6,Republican,Republican,Republican,Republican,
Baylor,48023,0.0,0.669082125603865,0.638588046530285,0.133886255924171,0.6736446591519061,0.3362549800796811,0.0,0.652979066022544,0.6218660090423349,0.10539018503620301,0.631508319914117,0.528261793455164,-0.02849607088796799,0.19200681337548292,3591.0,White,3050.0,0.8493455861876914,47.3,Republican,Republican,Republican,Republican,
Bee,48025,0.403718125863585,0.446627538369794,0.559451862262825,0.442999234889059,0.47474969398323996,0.345630040989025,0.41810040065991,0.49317347227017405,0.540062368739261,0.392108508014797,0.495401902011864,0.4624303091738471,-0.05089072687426199,0.11680026818482209,32691.0,White,10392.0,0.3178856566027347,35.4,Republican,Republican,Republican,Republican,
Bell,48027,0.3613407620416971,0.5010970386120611,0.547466038582876,0.297453136827107,0.537844750546979,0.257356648485126,0.34311935909137004,0.593846106437398,0.511704175726095,0.42804120928558603,0.620079504483683,0.44186023397044105,0.13058807245847903,0.18450358548531504,342236.0,White,158804.0,0.4640189810540095,30.8,Republican,Republican,Republican,Republican,
Bexar,48029,0.519887062549972,0.516731952275899,0.587180812524405,0.5536855162101539,0.571313010750307,0.34309369045141697,0.533463840278207,0.630144103278116,0.5891778028313289,0.586385806586906,0.667712110665729,0.5209809859814539,0.03270029037675204,0.17788729553003696,1925865.0,White,539435.0,0.2801001108592762,33.4,Democrat,Democrat,Democrat,Democrat,
Blanco,48031,0.232703137570394,0.6684767076307521,0.708564913780818,0.0,0.703820139087358,0.48876556578235003,0.19222833562585998,0.7657425931218441,0.723563075391889,0.259532806595672,0.8028960655425359,0.6907925961082111,0.259532806595672,0.20202703032586106,11279.0,White,8712.0,0.7724089014983598,49.9,Republican,Republican,Republican,Republican,
Borden,48033,0.0,0.6583463338533541,0.8625592417061609,0.0494296577946768,0.6864274570982839,0.597727272727273,0.0,0.7223088923556941,0.8012958963282941,0.037463976945245,0.758190327613105,0.7139917695473249,-0.011965680849431795,0.11626449682005191,665.0,White,595.0,0.8947368421052632,42.5,Republican,Republican,Republican,Republican,
Bosque,48035,0.20059880239521,0.6442455523830439,0.6262677916986279,0.154980804202869,0.649461893257193,0.418413933040243,0.163799645838604,0.658906215681968,0.6588333333333329,0.17863059083379298,0.6659345486492421,0.5972955145118729,0.023649786630923986,0.1788815814716299,18122.0,White,14167.0,0.7817569804657323,46.7,Republican,Republican,Republican,Republican,
Bowie,48037,0.271873762796222,0.599794738832172,0.6369236311239189,0.0,0.0,0.0,0.0,0.6382109868740891,0.585466179159049,0.263717746182201,0.641840868578836,0.47944859624318303,0.263717746182201,0.47944859624318303,93858.0,White,60017.0,0.6394446930469433,38.1,Republican,Republican,Republican,Republican,
Brazoria,48039,0.30194051097624897,0.553323157686339,0.6161978739857571,0.28326352446520003,0.586580280107036,0.33921620930118607,0.33712352504332,0.627925764610462,0.61628823514455,0.377330303789315,0.658497410319128,0.542083901095437,0.09406677932411495,0.20286769179425096,353999.0,White,170322.0,0.48113695236427223,35.6,Republican,Republican,Republican,Republican,
Brazos,48041,0.0,0.43966415363534206,0.649920041088375,0.246171263247272,0.47817049950988205,0.341293521658867,0.283242990517657,0.54795202488055,0.641038129044948,0.375587650477057,0.58060261430529,0.5734679265630109,0.129416387229785,0.23217440490414393,219193.0,White,122867.0,0.5605425355736725,26.2,Republican,Republican,Republican,Republican,
Brewster,48043,0.571392016376663,0.705480935875217,0.6000307078151391,0.583926754832147,0.761373483535529,0.41954758856167296,0.5224679860302679,0.7976603119584058,0.583242802824552,0.499510523739599,0.781304159445407,0.5664771939553579,-0.08441623109254798,0.14692960539368494,9216.0,White,4722.0,0.5123697916666666,43.3,Democrat,Democrat,Democrat,Republican,
Briscoe,48045,0.0,0.6847892486255339,0.6360392506690461,0.11005692599620501,0.692730604764814,0.464726631393298,0.0,0.6695174098961509,0.678832116788321,0.0901898734177215,0.654856444715944,0.58955223880597,-0.019867052578483507,0.12482560741267196,1546.0,White,885.0,0.5724450194049159,46.3,Republican,Republican,Republican,Republican,
Brooks,48047,0.834088102099629,0.911394157552264,0.36898070788394305,0.6438519697572621,0.890211823342102,0.390824261275272,0.741353383458647,0.8896580368268029,0.413943355119826,0.7837837837837841,0.8036826803267341,0.33143841515934497,0.139931814026522,-0.05938584611592701,7180.0,White,400.0,0.055710306406685235,32.7,Democrat,Democrat,Democrat,Democrat,
Brown,48049,0.136086613608661,0.574292762294652,0.6373149332845911,0.0,0.596940114417677,0.36061898272299603,0.0,0.614601375111531,0.607856532877882,0.117190029135643,0.608644307982995,0.532746949510628,0.117190029135643,0.17212796678763193,37834.0,White,27253.0,0.7203309192789554,41.3,Republican,Republican,Republican,Republican,
Burleson,48051,0.0,0.622389014953162,0.6043750584275971,0.20750237416904102,0.64281142724152,0.38124547429398997,0.19801838024124105,0.6769651480770351,0.598538891276321,0.204511050560097,0.683365334264269,0.562452107279694,-0.0029913236089440243,0.181206632985704,17863.0,White,11617.0,0.6503386889100375,42.6,Republican,Republican,Republican,Republican,
Burnet,48053,0.212023649241936,0.6046315789473679,0.6609021974620861,0.178073089700997,0.641614035087719,0.438951474716541,0.189424604191218,0.6919064327485379,0.6598262280672099,0.221366286845343,0.721216374269006,0.606285677218474,0.04329319714434601,0.16733420250193304,45750.0,White,33745.0,0.7375956284153006,44.2,Republican,Republican,Republican,Republican,
Caldwell,48055,0.469042476601872,0.524431250985131,0.556629765065371,0.42368125701459003,0.557268953922135,0.420025456088248,0.4259801529201239,0.5919455682236121,0.5455997869790971,0.45705361790734,0.6206588556717281,0.487852366037416,0.033372360892749975,0.06782690994916801,41401.0,White,16686.0,0.4030337431463008,35.4,Republican,Republican,Republican,Republican,
Calhoun,48057,0.38372093023255793,0.559094523174781,0.561151079136691,0.29233725678597194,0.593798232075207,0.32789855072463797,0.30238801752154904,0.6015621346054909,0.5502254703778571,0.288066514509292,0.595949674945045,0.48140009417673796,-0.004270742276679951,0.1535015434521,21807.0,White,9314.0,0.4271105608290916,37.7,Republican,Republican,Republican,Republican,
Callahan,48059,0.148572501878287,0.6387330183106911,0.6154201826378449,0.0,0.652392203189604,0.3415572657311,0.0,0.679119905493207,0.617960426179604,0.10250839423266803,0.683771411695216,0.546701220170608,0.10250839423266803,0.20514395443950795,13770.0,White,11900.0,0.8641975308641975,42.9,Republican,Republican,Republican,Republican,
Cameron,48061,0.652838285974381,0.434308995125794,0.43585092815644005,0.632162021810628,0.459509625326178,0.21664291607290198,0.661993652964621,0.48664270592289904,0.473417170838308,0.63290405504171,0.5078258086751021,0.384693318596726,0.0007420332310820177,0.16805040252382403,421750.0,White,38334.0,0.09089270895080023,31.5,Democrat,Democrat,Democrat,Democrat,
Camp,48063,0.320876585928489,0.563825497943714,0.6199942791762011,0.0,0.0,0.0,0.0,0.6112410289492779,0.5992084432717679,0.27519876891510603,0.6113216676074511,0.514312096029548,0.27519876891510603,0.514312096029548,12813.0,White,7176.0,0.5600561929290564,38.7,Republican,Republican,Republican,Republican,
Carson,48065,0.0,0.6790682626981559,0.661029061457837,0.0879828326180258,0.688126819799418,0.43817583450869796,0.0,0.698317696538337,0.692842251563586,0.0794809407948094,0.683274021352313,0.583806818181818,-0.008501891823216395,0.14563098367312005,6032.0,White,5186.0,0.8597480106100795,40.3,Republican,Republican,Republican,Republican,
