County,demperc2002,demperc2004,demperc2006,demperc2008,demperc2010,demperc2012,demperc2014,demperc2016,demperc2018
Anderson,0.398690216,0.311751227,0.368253336,0.295420168,0.222586999,0.238809799,0.227818806,0.227818806,0.216827813
Angelina,0.67003421,0.422544902,0.362771804,0.320294,0.320294,0.277816197,0.216701712,0.245102773,0.258549562
Aransas,0.285617021,0.313425344,0.341233668,0.280453391,0.219673114,0.283603327,0.243037537,0.243979965,0.232378981
Archer,0.194909344,0.474557522,0.250814332,0.193889824,0.071283096,0.083808475,0.096333853,0.091718486,0.087103119
Armstrong,0.128989362,0.141830056,0.15467075,0.157569516,0.118234299,0.118234299,0.078899083,0.072397518,0.065895954
Atascosa,0.627384815,0.557698962,0.604461415,0.651223868,0.44891451,0.53889163,0.504664129,0.470436628,0.487550379
Austin,0.265355891,0.283192583,0.301029274,0.263664459,0.171823335,0.17876296,0.136643297,0.162999323,0.189361702
Bandera,0.171866347,0.201072706,0.181386416,0.181386416,0.161700125,0.190963061,0.174510777,0.158058494,0.201380775
Bastrop,0.405179616,0.388382569,0.505742237,0.582261478,0.413583292,0.410508006,0.368031386,0.381579437,0.427214828
Baylor,0.276338515,0.284856955,0.293375394,0.225422668,0.18195153,0.18195153,0.138480392,0.123194068,0.107907743
Bell,0.521607243,0.354677339,0.403991447,0.415207545,0.402299394,0.389391243,0.315303835,0.377475317,0.44817881
Bexar,0.403096827,0.488591181,0.482539299,0.476487418,0.456893651,0.549839921,0.586215116,0.643209725,0.71587255
Blanco,0.238294899,0.255949603,0.235573173,0.235573173,0.215196744,0.24658994,0.227430589,0.208271237,0.266631375
Borden,0.611320755,0.498591549,0.253061224,0.161931818,0.110759494,0.082019091,0.053278689,0.045870113,0.038461538
Bosque,0.515525627,0.521043431,0.622764228,0.527115256,0.344467641,0.213561287,0.164134389,0.172804911,0.185972981
Bowie,0.589178657,0.410743184,0.40260248,0.323616193,0.258094616,0.28604582,0.27750678,0.27750678,0.26896774
Brazoria,0.330144838,0.39252962,0.450637766,0.44929147,0.252730569,0.318096159,0.292603276,0.343466272,0.387625323
Brazos,0.287881035,0.502564888,0.581468888,0.555170033,0.349077471,0.303786168,0.258494865,0.310439252,0.390234137
Brewster,0.431837074,0.382542801,0.477415979,0.572289157,0.477719791,0.600268817,0.598124349,0.539423077,0.512685255
Briscoe,0.224250326,0.225846967,0.227443609,0.22,0.167884232,0.167884232,0.115768463,0.104225695,0.092682927
Brown,0.496914619,0.216157856,0.171728306,0.171728306,0.127298756,0.141821714,0.131229111,0.131229111,0.120636508
Burleson,0.443956044,0.162464986,0.485945688,0.411228181,0.25907095,0.236827397,0.214583845,0.203873448,0.207910126
Burnet,0.257277438,0.278985263,0.238885184,0.238885184,0.198785104,0.228042561,0.189298958,0.200173263,0.228303448
Caldwell,0.419429348,0.543357769,0.5951133,0.646868832,0.473251029,0.501105663,0.448603684,0.447453862,0.476052774
Calhoun,0.377979569,0.444284706,0.510589843,0.394450606,0.278311369,0.42615894,0.309354347,0.316896194,0.298177523
Callahan,0.46686747,0.486544672,0.327450362,0.226654412,0.153363229,0.160968661,0.133067917,0.133067917,0.105167173
Cameron,0.685521595,0.679170585,0.707356038,0.694782828,0.581447964,0.679084994,0.670074179,0.687812243,0.653490853
Camp,0.614186851,0.598706996,0.41432488,0.398441082,0.320928645,0.336722343,0.307675635,0.307675635,0.278628928
Carson,0.164948454,0.171947911,0.178947368,0.157147685,0.124154721,0.124154721,0.091161757,0.086329319,0.081496881
Cass,0.678900344,0.464326062,0.451363509,0.326526908,0.245685127,0.271085937,0.231838537,0.231838537,0.192591137
