County,CSA,RegPerc2002,RegPerc2004,RegPerc2006,RegPerc2008,RegPerc2010,RegPerc2012,RegPerc2014,RegPerc2016,RegPerc2018
Anderson,,0.480225119,0.506551712,0.474374765,0.472390434,0.45692634,0.438759451,0.462143761,0.480618564,0.48465565
Angelina,,0.556649111,0.55443639,0.548270736,0.563056782,0.548651047,0.553860161,0.575215222,0.595233431,0.593308824
Aransas,Corpus Christi,0.66586061,0.680866223,0.695871837,0.68717074,0.678469643,0.659340185,0.682830987,0.745919337,0.740910269
Archer,,0.706759443,0.71890877,0.715484869,0.71537442,0.720786393,0.6817981,0.69582505,0.697371328,0.691296664
Armstrong,Amarillo,0.729089953,0.731983167,0.734876381,0.769068911,0.719095213,0.733298264,0.701735928,0.731720147,0.743819043
Atascosa,San Antonio,0.548150787,0.554697068,0.550410812,0.546124557,0.52461535,0.525105208,0.547616397,0.589877758,0.607757565
Austin,Houston,0.544709153,0.601611711,0.617799205,0.634444171,0.628321075,0.624731675,0.6533765,0.678291164,0.682443608
Bandera,San Antonio,0.609030998,0.65765194,0.693458628,0.729265316,0.709201855,0.71647547,0.724432512,0.757627532,0.775054918
Bastrop,Austin,0.471693789,0.512963288,0.525865904,0.551037467,0.541936876,0.522670586,0.573984441,0.608256596,0.633967454
Baylor,,0.780730005,0.76489533,0.749060655,0.741814278,0.719269995,0.669082126,0.673644659,0.652979066,0.63150832
Bell,,0.46675907,0.497877416,0.490370203,0.522932616,0.498215869,0.507064,0.544658082,0.601150741,0.628081938
Bexar,San Antonio,0.515580196,0.529787908,0.532249458,0.543101623,0.528255343,0.516731952,0.558823821,0.609259068,0.645209599
Blanco,,0.595408212,0.623797275,0.642231114,0.660664952,0.66009336,0.668476708,0.703820139,0.765742593,0.802896066
Borden,,0.761310452,0.709828393,0.695787832,0.683307332,0.71450858,0.658346334,0.686427457,0.722308892,0.758190328
Bosque,,0.58175928,0.631177246,0.653030969,0.693004612,0.666318911,0.644245552,0.649461893,0.658906216,0.665934549
Bowie,,0.582974126,0.620774591,0.619489008,0.648247178,0.615967158,0.599794739,0.619002863,0.638210987,0.641840869
Brazoria,Houston,0.487667882,0.51565304,0.522764285,0.549551995,0.544621702,0.553323158,0.58658028,0.627925765,0.65849741
Brazos,,0.475537719,0.475573643,0.451206306,0.477482795,0.454239393,0.439664154,0.4781705,0.547952025,0.580602614
Brewster,,0.645905546,0.668652513,0.684900347,0.70114818,0.707430676,0.705480936,0.761373484,0.797660312,0.781304159
Briscoe,,0.797800855,0.786805131,0.775809407,0.76420281,0.729383018,0.684789249,0.692730605,0.66951741,0.654856445
Brown,,0.60166378,0.6745132,0.663727497,0.652941794,0.601978691,0.574292762,0.596940114,0.614601375,0.608644308
Burleson,,0.631174725,0.649095246,0.65363356,0.65345901,0.637865829,0.622389015,0.642811427,0.676965148,0.683365334
Burnet,,0.54645614,0.575274854,0.59728655,0.619298246,0.609988304,0.604631579,0.641614035,0.691906433,0.721216374
Caldwell,Austin,0.546524458,0.57770714,0.568341827,0.558976514,0.543030526,0.524431251,0.557268954,0.591945568,0.620658856
Calhoun,Victoria,0.661194518,0.637832655,0.614470792,0.604064356,0.593657921,0.559094523,0.593798232,0.601562135,0.595949675
Callahan,,0.660366214,0.684509746,0.663762552,0.681113408,0.663836385,0.638733018,0.652392203,0.679119905,0.683771412
Cameron,Brownsville,0.379580031,0.399707055,0.412672936,0.429326473,0.428784895,0.434308995,0.459509625,0.486642706,0.507825809
