County,ToPerc2002,ToPerc2004,ToPerc2006,ToPerc2008,ToPerc2010,ToPerc2012,ToPerc2014,ToPerc2016,ToPerc2018
Anderson,0.373775514,0.549439416,0.382351881,0.600869093,0.411852795,0.632071426,0.378960616,0.604392084,0.521106876
Angelina,0.401606592,0.591323869,0.468575272,0.598194732,0.406011721,0.596183857,0.339978362,0.585606691,0.516005594
Aransas,0.385732815,0.402981207,0.4202296,0.429533079,0.438836558,0.631868492,0.386643901,0.622959361,0.523837277
Archer,0.463509923,0.688124136,0.451065144,0.685502547,0.440851977,0.674550462,0.428571429,0.687836554,0.58252117
Armstrong,0.544011544,0.531132472,0.5182534,0.678522572,0.489392831,0.673601148,0.429535232,0.689432063,0.638613861
Atascosa,0.340157608,0.483983622,0.446419585,0.408855547,0.358431306,0.539413985,0.309343742,0.523063566,0.450925078
Austin,0.459202791,0.62318671,0.45898838,0.654279217,0.486138337,0.661972624,0.389023536,0.643891051,0.575207549
Bandera,0.452709202,0.640736342,0.637524607,0.634312872,0.463862885,0.654152756,0.433355795,0.664368557,0.606978648
Bastrop,0.438804093,0.619128972,0.434416983,0.636930831,0.472111653,0.636752908,0.401099288,0.640319184,0.587512228
Baylor,0.406668958,0.378719646,0.350770333,0.592619392,0.419029851,0.638588047,0.33625498,0.621866009,0.528261793
Bell,0.311909119,0.513495491,0.282797607,0.55839785,0.301616159,0.55057244,0.261208958,0.515544403,0.446002884
Bexar,0.312951093,0.527985637,0.303932235,0.566439671,0.336117496,0.587180813,0.317297257,0.573052077,0.497717799
Blanco,0.4952,0.708918754,0.710551662,0.712184571,0.573098571,0.708564914,0.488765566,0.723563075,0.690792596
Borden,0.569672131,0.802197802,0.578475336,0.826484018,0.737991266,0.862559242,0.597727273,0.801295896,0.71399177
Bosque,0.512505899,0.666724663,0.473555873,0.606449568,0.48776267,0.626267792,0.418413933,0.658833333,0.597295515
Bowie,0.381891296,0.590564199,0.31976004,0.585684526,0.398705649,0.636923631,0.611194905,0.585466179,0.479448596
Brazoria,0.352413879,0.57513701,0.354995358,0.609787276,0.414143072,0.616197874,0.339216209,0.616288235,0.542083901
Brazos,0.314853387,0.592385557,0.348688551,0.630624046,0.426137455,0.649920041,0.341293522,0.641038129,0.573467927
Brewster,0.428811001,0.60116637,0.601989024,0.602811679,0.419843822,0.600030708,0.419547589,0.583242803,0.566477194
Briscoe,0.603369066,0.545779021,0.488188976,0.663469225,0.406197655,0.636039251,0.464726631,0.678832117,0.589552239
Brown,0.391067301,0.551025172,0.578434494,0.605843817,0.410915907,0.637314933,0.360618983,0.607856533,0.53274695
Burleson,0.440634218,0.608910004,0.398166281,0.593802867,0.413025632,0.604375058,0.381245474,0.598538891,0.562452107
Burnet,0.467702581,0.644532997,0.648782079,0.653031161,0.464278866,0.660902197,0.438951475,0.659826228,0.606285677
Caldwell,0.37137089,0.522440999,0.535282911,0.548124824,0.402109235,0.556629765,0.420025456,0.545599787,0.487852366
Calhoun,0.394001556,0.365709866,0.337418176,0.348217479,0.359016781,0.561151079,0.327898551,0.55022547,0.481400094
Callahan,0.42352415,0.616546219,0.364849833,0.619837398,0.396396396,0.615420183,0.341557266,0.617960426,0.54670122
Cameron,0.304942507,0.433136867,0.245335131,0.436218829,0.237471366,0.435850928,0.216642916,0.473417171,0.384693319
Camp,0.449341904,0.610129727,0.399577167,0.615944962,0.430122494,0.619994279,0.609601361,0.599208443,0.514312096
Carson,0.45326907,0.446875143,0.440481216,0.649663555,0.437714286,0.661029061,0.438175835,0.692842252,0.583806818
