CAND_ELECTION_YR,CAND_OFFICE,CAND_OFFICE_DISTRICT,CAND_PTY_AFFILIATION,CAND_NAME,CONTRIB_TYPE,CONTRIB_AMT
1988,House,1,Democratic,Chapman,Individual,264874
1988,House,1,Democratic,Chapman,Other,322285
1988,House,1,Republican,Mcqueen,Individual,65622
1988,House,1,Republican,Mcqueen,Other,29705
1988,House,2,Democratic,Wilson,Individual,84404
1988,House,2,Democratic,Wilson,Other,258509
1988,House,3,Democratic,Cowden,Individual,3498
1988,House,3,Democratic,Cowden,Other,14260
1988,House,3,Republican,Bartlett,Individual,475845
1988,House,3,Republican,Bartlett,Other,293356
1988,House,4,Democratic,Hall,Individual,81875
1988,House,4,Democratic,Hall,Other,268409
1988,House,4,Republican,Sutton,Individual,21848
1988,House,4,Republican,Sutton,Other,66930
1988,House,5,Democratic,Bryant,Individual,321277
1988,House,5,Democratic,Bryant,Other,568234
1988,House,5,Republican,Cohlmia,Individual,7350
1988,House,5,Republican,Cohlmia,Other,102310
1988,House,5,Republican,Williams,Individual,75702
1988,House,5,Republican,Williams,Other,104927
1988,House,6,Democratic,Kendrick,Individual,8366
1988,House,6,Democratic,Kendrick,Other,21485
1988,House,6,Democratic,Parish,Individual,0
1988,House,6,Democratic,Parish,Other,36367
1988,House,6,Democratic,Welch,Individual,100
1988,House,6,Democratic,Welch,Other,4000
1988,House,6,Republican,Barton,Individual,441135
1988,House,6,Republican,Barton,Other,309424
1988,House,7,Democratic,Richards,Individual,4900
1988,House,7,Democratic,Richards,Other,5900
1988,House,7,Republican,Archer,Individual,190338
1988,House,7,Republican,Archer,Other,79357
1988,House,8,Republican,Fields,Individual,228089
1988,House,8,Republican,Fields,Other,282861
1988,House,9,Democratic,Brooks,Individual,104025
1988,House,9,Democratic,Brooks,Other,320748
1988,House,10,Democratic,Pickle,Individual,97787
1988,House,10,Democratic,Pickle,Other,74959
1988,House,11,Democratic,Leath,Individual,27579
1988,House,11,Democratic,Leath,Other,150733
1988,House,12,Democratic,Wright,Individual,359195
1988,House,12,Democratic,Wright,Other,888118
1988,House,13,Democratic,Hollums,Individual,8165
1988,House,13,Democratic,Hollums,Other,16393
1988,House,13,Democratic,Lehman,Individual,21905
1988,House,13,Democratic,Lehman,Other,64003
1988,House,13,Democratic,Sarpalius,Individual,91224
1988,House,13,Democratic,Sarpalius,Other,295868
1988,House,13,Republican,Boulter,Individual,63027
1988,House,13,Republican,Boulter,Other,57709
1988,House,13,Republican,Buffum,Individual,16992
1988,House,13,Republican,Buffum,Other,13509
1988,House,13,Republican,Milner,Individual,303187
1988,House,13,Republican,Milner,Other,184133
1988,House,13,Republican,Pickering,Individual,20182
1988,House,13,Republican,Pickering,Other,10353
1988,House,13,Republican,Price,Individual,27016
1988,House,13,Republican,Price,Other,29181
1988,House,13,Republican,Staniswalis,Individual,6300
1988,House,13,Republican,Staniswalis,Other,7847
1988,House,14,Democratic,Herzik,Individual,23672
1988,House,14,Democratic,Herzik,Other,30289
1988,House,14,Democratic,Laughlin,Individual,270371
1988,House,14,Democratic,Laughlin,Other,353120
1988,House,14,Democratic,Pomeroy,Individual,4652
1988,House,14,Democratic,Pomeroy,Other,115205
1988,House,14,Republican,Sweeney,Individual,319828
1988,House,14,Republican,Sweeney,Other,389642
1988,House,15,Democratic,De La Garza,Individual,132998
1988,House,15,Democratic,De La Garza,Other,130845
1988,House,16,Democratic,Coleman,Individual,95635
1988,House,16,Democratic,Coleman,Other,227187
1988,House,17,Democratic,Stenholm,Individual,121493
1988,House,17,Democratic,Stenholm,Other,168058
1988,House,18,Democratic,Leland,Individual,163823
1988,House,18,Democratic,Leland,Other,363889
1988,House,18,Democratic,Spates,Individual,10149
1988,House,18,Democratic,Spates,Other,100
1988,House,19,Democratic,Mccathern,Individual,44173
1988,House,19,Democratic,Mccathern,Other,0
1988,House,19,Republican,Combest,Individual,136953
1988,House,19,Republican,Combest,Other,125487
1988,House,20,Democratic,Gonzalez,Individual,64872
1988,House,20,Democratic,Gonzalez,Other,160849
1988,House,20,Republican,Peters,Individual,8458
1988,House,20,Republican,Peters,Other,6529
1988,House,20,Republican,Trevino,Individual,25968
1988,House,20,Republican,Trevino,Other,32857
1988,House,21,Republican,Smith,Individual,383551
1988,House,21,Republican,Smith,Other,183650
1988,House,22,Democratic,Konrad,Individual,20625
1988,House,22,Democratic,Konrad,Other,4030
1988,House,22,Democratic,Lemmon,Individual,9912
1988,House,22,Democratic,Lemmon,Other,2000
1988,House,22,Democratic,Walker,Individual,33563
1988,House,22,Democratic,Walker,Other,79086
1988,House,22,Republican,Delay,Individual,187728
